Name,Active?,Location,Organization,Date start,Date End,QCd date start,QCd date end,Latitude,Longitude,Comments
Hetta,?,POW,Kai Environmental,7/17/2014,2/9/2018,7/17/2014,8/2/2017,55.171367,-132.570733,"have not heard from Cathy since ~spring 2021, need to switch out a logger for them. All accounted, seems active. ""Combined files goes to 2019, but the last year of data are office temperatures. 2018 is squirrelly."
Leask,N,CSI,Ketchikan Indian Community,6/12/2018,3/8/2023,,,55.519440,-131.522500,ended; duplicative of USGS site
Mahoney,P,CSI,Ketchikan Indian Community,6/13/2018,4/9/2023,,,55.419720,-131.536700,paused - we pulled dead loggers and didn't get new ones in.
Nadzaheen,Y,CSI,Metlakatla Indian Community,6/9/2022,9/13/2023,6/9/2022,11/17/2022,55.24034534,-131.4901313,
Moss Point,Y,CSI,Metlakatla Indian Community,5/25/2022,10/27/2023,5/25/2022,4/20/2023,55.02665735,-131.5574844,
Hemlock,Y,CSI,Metlakatla Indian Community,5/26/2022,10/26/2023,5/26/2022,4/20/2023,55.17181435,-131.5574353,
Kwain,Y,CSI,Metlakatla Indian Community,6/25/2022,5/9/2023,6/25/2022,9/20/2022,55.08550471,-131.3790053,
Annette Point,Y,CSI,Metlakatla Indian Community,6/24/2022,10/13/2023,6/24/2022,9/21/2022,55.01746592,-131.4007893,
South Trout,Y,CSI,Metlakatla Indian Community,7/26/2022,10/11/2023,7/26/2022,10/20/2022,55.13190735,-131.4643609,
North Trout,Y,CSI,Metlakatla Indian Community,6/20/2023,10/11/2023,,,55.1353988,-131.4602022,
South Fork Inlet,Y,POW,Southeast Alaska Watershed Coalition,7/8/2021,7/14/2022,,,55.48277000,-132.91370100,
Inlet Creek,Y,POW,Southeast Alaska Watershed Coalition,7/5/2021,7/14/2022,,,55.48341200,-132.91309600,
Bluewater,Y,POW,Southeast Alaska Watershed Coalition,7/5/2021,9/15/2023,,,55.48717300,-132.91472900,
Threemile,Y,POW,Southeast Alaska Watershed Coalition,7/5/2021,7/14/2022,,,55.53218300,-133.00097600,
Klawock River,Y,POW,Southeast Alaska Watershed Coalition,7/8/2021,9/15/2023,,,55.54867800,-133.04872800,
7 Mile,Y,POW,Southeast Alaska Watershed Coalition,7/8/2021,9/14/2023,,,55.49762900,-132.93750200,
Hatchery (Klawock Lake),Y,POW,Southeast Alaska Watershed Coalition,7/15/2022,,,,55.52994300,-133.03300300,no data retrieved yet
Salmon Salad,Y,POW,Southeast Alaska Watershed Coalition,7/15/2022,,,,55.49048600,-132.93900000,no data retrieved yet
Tye,Y,POW,Southeast Alaska Watershed Coalition,9/13/2023,,,,55.76527,-133.042917,
Calvin,Y,POW,Southeast Alaska Watershed Coalition,9/13/2023,,,,55.772096,-133.064102,
Fossil,Y,POW,Southeast Alaska Watershed Coalition,9/13/2023,,,,55.797793,-133.104184,
Slash,Y,POW,Southeast Alaska Watershed Coalition,9/13/2023,,,,55.786014,-133.054419,
Hydra,Y,POW,Southeast Alaska Watershed Coalition,9/13/2023,,,,55.779006,-133.065634,
Orpheus,Y,POW,Southeast Alaska Watershed Coalition,9/13/2023,,,,55.797701,-133.100102,
